deviceId,service_area
10018540,00_长安服务区
10018546,00_长安服务区
10020941,01_长兴服务区
10034837,01_长兴服务区
10034811,01_长兴服务区
10020955,01_长兴服务区
10037710,02_常山服务区
10018670,02_常山服务区
10037736,02_常山服务区
10018652,02_常山服务区
10037628,02_常山服务区
10018714,03_次坞服务区
10018712,03_次坞服务区
10039699,03_次坞服务区
10018706,03_次坞服务区
10018723,03_次坞服务区
10039623,03_次坞服务区
10039799,03_次坞服务区
10017618,04_次坞收费站
10018835,05_德清服务区
10035460,05_德清服务区
10035537,05_德清服务区
10018817,05_德清服务区
10018979,06_德清西服务区
10034785,06_德清西服务区
10034771,06_德清西服务区
10034729,06_德清西服务区
10034741,06_德清西服务区
10018995,06_德清西服务区
10021389,07_东阳服务区
10021163,07_东阳服务区
10021177,07_东阳服务区
10021153,07_东阳服务区
10019031,08_方岩服务区
10019049,08_方岩服务区
10019081,09_奉化服务区
10019071,09_奉化服务区
10019351,10_富阳服务区
10019375,10_富阳服务区
10019385,10_富阳服务区
10034679,10_富阳服务区
10034661,10_富阳服务区
10019337,10_富阳服务区
10034705,10_富阳服务区
10036520,11_湖州服务区
10036556,11_湖州服务区
10036466,11_湖州服务区
10019405,12_沪昆诸暨服务区
10019413,12_沪昆诸暨服务区
10019399,12_沪昆诸暨服务区
10019425,12_沪昆诸暨服务区
10021404,13_嘉兴服务区
10019475,13_嘉兴服务区
10021420,13_嘉兴服务区
10019491,13_嘉兴服务区
10019523,14_建金兰溪服务区
10036350,14_建金兰溪服务区
10019509,14_建金兰溪服务区
10019617,15_江山服务区
10019637,15_江山服务区
10035324,15_江山服务区
10019603,15_江山服务区
10035424,15_江山服务区
10035244,15_江山服务区
10035619,15_江山服务区
10019629,15_江山服务区
10035561,15_江山服务区
10035545,15_江山服务区
10037954,16_金华服务区
10038048,16_金华服务区
10038008,16_金华服务区
10038208,17_景宁服务区
10038247,17_景宁服务区
10019667,18_开化服务区
10019645,18_开化服务区
10019659,18_开化服务区
10019681,18_开化服务区
10036943,18_开化服务区
10019701,19_开化龙顶服务区
10019691,19_开化龙顶服务区
10038066,19_开化龙顶服务区
10037935,21_兰溪服务区
10019711,21_兰溪服务区
10019721,21_兰溪服务区
10019747,22_丽水服务区
10019731,22_丽水服务区
10038550,23_莲都停车区北区
10019773,25_临安服务区
10019761,25_临安服务区
10035911,26_临海服务区
10035929,26_临海服务区
10019779,26_临海服务区
10035838,26_临海服务区
10019799,26_临海服务区
10019793,26_临海服务区
10019811,26_临海服务区
10019831,28_灵溪服务区
10019841,28_灵溪服务区
10019866,29_龙岗服务区
10035121,29_龙岗服务区
10019854,29_龙岗服务区
10019876,30_龙泉服务区
10019888,30_龙泉服务区
10019902,31_芦浦停车区
